Round,Pick,Player,PlayerKey
20,271,J.T. Realmuto,458.p.9718
20,272,Joc Pederson,458.p.9414
20,273,Willi Castro,458.p.10868
20,274,Unknown (458.p.10852),458.p.10852
20,275,Bubba Chandler,458.p.12516
20,276,Unknown (458.p.10429),458.p.10429
20,277,Daulton Varsho,458.p.10843
20,278,Unknown (458.p.10549),458.p.10549
20,279,Drake Baldwin,458.p.60077
20,280,Unknown (458.p.10926),458.p.10926
21,281,Edwin Uceta,458.p.11482
21,282,Unknown (458.p.11878),458.p.11878
21,283,Ivan Herrera,458.p.11836
21,284,Unknown (458.p.12430),458.p.12430
21,285,Francisco Alvarez,458.p.11349
21,286,Gleyber Torres,458.p.10236
21,287,Unknown (458.p.10511),458.p.10511
21,288,Unknown (458.p.9582),458.p.9582
21,289,Wilyer Abreu,458.p.12731
21,290,Unknown (458.p.60615),458.p.60615
21,291,Cam Smith,458.p.64330
21,292,Jeremiah Estrada,458.p.12687
21,293,Unknown (458.p.10296),458.p.10296
21,294,Unknown (458.p.10463),458.p.10463
22,295,Unknown (458.p.12590),458.p.12590
22,296,Drew Rasmussen,458.p.11789
22,297,Unknown (458.p.12355),458.p.12355
22,298,Rhys Hoskins,458.p.10556
22,299,Andrew Painter,458.p.60592
22,300,Alec Burleson,458.p.12550
22,301,Unknown (458.p.10325),458.p.10325
22,302,Tyler Kinley,458.p.10985
22,303,Bryan Abreu,458.p.11208
22,304,Unknown (458.p.61346),458.p.61346
22,305,Evan Carter,458.p.12563
22,306,Unknown (458.p.63500),458.p.63500
22,307,Luke Weaver,458.p.10217
22,308,Unknown (458.p.12606),458.p.12606
23,309,Unknown (458.p.12015),458.p.12015
23,310,Unknown (458.p.9672),458.p.9672
23,311,Unknown (458.p.11626),458.p.11626
23,312,Unknown (458.p.11379),458.p.11379
23,313,Unknown (458.p.12604),458.p.12604
23,314,Unknown (458.p.11097),458.p.11097
23,315,Ha-Seong Kim,458.p.12116
23,316,Tyler Stephenson,458.p.10456
23,317,Unknown (458.p.12742),458.p.12742
23,318,Trevor Story,458.p.9571
23,319,Unknown (458.p.12614),458.p.12614
23,320,Unknown (458.p.11327),458.p.11327
23,321,Casey Mize,458.p.11083
23,322,Jonathan Aranda,458.p.12309
24,323,Unknown (458.p.11310),458.p.11310
24,324,Unknown (458.p.12374),458.p.12374
24,325,Unknown (458.p.10499),458.p.10499
24,326,Unknown (458.p.12665),458.p.12665
