Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Gavin Hollowell","CHC",1,1,0,4.49507,16,0,0,1,,16,70,15,9,8,2,8,,1,15,8.63026,4.36839,1.97562,1.11791,0.217987,0.110339,0.10764811187982559,0.238166,1.39984,0.28669,0.70042,,,4.51019,-0.0202604,-0.0344724,999,,,,,,,61.80000000000001,3.8625000000000007,61,3.8125,,,,,,,,,,,,,,,,,,,"Gavin Hollowell","25427",668970
"Cameron Foster","BAL",1,2,0,4.47242,26,0,0,1,,26,114,26,14,13,4,10,,1,23,7.89853,3.47055,2.27587,1.32848,0.200917,0.0882812,0.11263567209243774,0.256606,1.40063,0.296011,0.726441,,,4.53639,-0.020811,-0.0473639,999,,,,,,,92.6,3.5615384615384613,95,3.6538461538461537,,,,,,,,,,,,,,,,,,,"Cameron Foster","sa3020735",671382
"Connor Phillips","CIN",3,4,0,4.63016,56,0,0,7,,56,246,50,31,29,8,28,,4,60,9.5625,4.46287,2.14268,1.28697,0.242051,0.112966,0.12908421456813812,0.234744,1.39455,0.288115,0.70665,,,4.55281,-0.0211318,-0.0476649,999,,,,,,,238.0000000000001,4.250000000000002,228,4.071428571428571,,,,,,,,,,,,,,,,,,,"Connor Phillips","27649",683175
"Albert Suárez","BAL",1,1,0,4.51972,22,0,0,1,,22,96,23,12,11,3,7,,1,18,7.5239,2.92132,2.57551,1.36021,0.192013,0.0745533,0.11745977401733398,0.265647,1.38762,0.3025,0.718844,,,4.48436,-0.0211319,-0.0448078,999,,,,,,,82.10000000000001,3.7318181818181824,87,3.9545454545454546,,,,,,,,,,,,,,,,,,,"Albert Suarez","6175",544150
"Kevin Abel","CIN",0,1,0,5.29848,10,0,0,1,,10,45,10,6,6,2,5,,0,8,7.29362,4.32283,1.68723,1.45524,0.180808,0.107163,0.07364577054977417,0.262747,1.51879,0.294194,0.683977,,,5.20549,-0.0215408,-0.0218686,999,,,,,,,28.4,2.84,29,2.9,,,,,,,,,,,,,,,,,,,"Kevin Abel","sa3017879",674265
"Eli Morgan","KCR",1,1,0,4.53941,28,0,0,1,,28,120,27,15,14,4,10,,1,24,7.65229,3.20989,2.38397,1.30164,0.198833,0.083404,0.115428626537323,0.252392,1.33872,0.289156,0.699653,,,4.47039,-0.0216832,-0.0258469,999,,,,,,,106.8,3.814285714285714,107,3.8214285714285716,,,,,,,,,,,,,,,,,,,"Eli Morgan","20203",669212
"Blas Castaño","SEA",0,1,0,4.40792,10,0,0,1,,10,44,10,5,5,1,3,,1,7,6.47171,3.0094,2.1505,1.15029,0.164612,0.076546,0.08806608617305756,0.258778,1.35559,0.288251,0.699067,,,4.62466,-0.0218535,-0.01565,999,,,,,,,41.7,4.17,43,4.3,,,,,,,,,,,,,,,,,,,"Blas Castano","26117",680604
"Hayden Durke","ARI",1,1,0,4.49989,10,0,0,1,,10,45,9,5,5,1,6,,1,10,8.69675,5.76737,1.50792,0.969841,0.213322,0.141467,0.07185456156730652,0.238791,1.55007,0.293193,0.720513,,,4.76967,-0.0219517,0.00145558,999,,,,,,,41.300000000000004,4.130000000000001,40,4,,,,,,,,,,,,,,,,,,,"Hayden Durke","sa3022733",694492
"Joey Estes","ATH",1,2,0,4.85327,30,0,0,1,,30,128,31,17,16,5,8,,2,22,6.73547,2.33292,2.88714,1.554,0.174798,0.0605437,0.1142544150352478,0.261621,1.29422,0.284125,0.679599,,,4.85891,-0.0223989,-0.0563979,999,,,,,,,97.9,3.2633333333333336,103,3.433333333333333,,,,,,,,,,,,,,,,,,,"Joey Estes","26257",683155
"Justin Bruihl","STL",3,3,0,4.07601,50,0,0,5,,50,218,49,25,23,6,19,,4,43,7.78245,3.44069,2.26189,1.00404,0.198695,0.0878448,0.11085030436515808,0.250614,1.35477,0.296449,0.719391,,,4.27087,-0.0225504,0.00941104,999,,,,,,,205.79999999999998,4.116,209,4.18,,,,,,,,,,,,,,,,,,,"Justin Bruihl","23779",677865
"Ryan Rolison","CHC",1,1,0,4.47959,14,0,0,1,,14,61,14,8,7,2,5,,0,11,6.81458,3.43949,1.98127,1.22223,0.174009,0.087827,0.08618228137493134,0.259603,1.40587,0.29108,0.710569,,,4.61027,-0.0226478,-0.0341042,999,,,,,,,53.6,3.8285714285714287,55,3.9285714285714284,,,,,,,,,,,,,,,,,,,"Ryan Rolison","22200",669020
"Reggie Crawford","SFG",0,1,0,4.54142,10,0,0,1,,10,45,9,5,5,1,5,,1,10,9.17609,4.41012,2.08069,1.21403,0.228767,0.109948,0.11881960928440094,0.240918,1.41428,0.294326,0.706298,,,4.71065,-0.0227867,-0.00622483,999,,,,,,,44.300000000000004,4.430000000000001,43,4.3,,,,,,,,,,,,,,,,,,,"Reggie Crawford","sa3020457",686846
"Kendall Graveman",,2,2,0,4.34788,43,0,0,0,,43,192,43,22,21,5,21,,2,38,8.04405,4.38062,1.83628,1.04841,0.200086,0.108963,0.09112337231636047,0.25157,1.47515,0.298736,0.73026,,,4.47595,-0.0232746,0.0560538,999,,,,,,,151.89999999999998,3.532558139534883,157,3.6511627906976742,,,,,,,,,,,,,,,,,,,"Kendall Graveman","15514",608665
"Jack Neely","CHC",1,1,0,4.46541,18,0,0,1,,18,79,16,10,9,3,9,,1,18,9.00113,4.34356,2.07229,1.28375,0.2278,0.109927,0.11787371337413788,0.237102,1.39463,0.28456,0.717181,,,4.62079,-0.023495,-0.0349802,999,,,,,,,64.70000000000002,3.5944444444444454,61,3.388888888888889,,,,,,,,,,,,,,,,,,,"Jack Neely","30106",680891
"Tejay Antone","CIN",1,1,0,5.13593,16,0,0,1,,16,72,17,10,9,2,7,,1,13,7.25278,4.15976,1.74356,1.28802,0.178829,0.102566,0.0762634128332138,0.262593,1.50473,0.297705,0.682289,,,4.99245,-0.0235953,-0.0465671,999,,,,,,,55.60000000000001,3.4750000000000005,60,3.75,,,,,,,,,,,,,,,,,,,"Tejay Antone","16233",622088
"Joe La Sorsa","PIT",1,1,0,4.48332,14,0,0,1,,14,61,15,7,7,2,5,,1,10,6.14842,3.20318,1.91948,1.16274,0.155649,0.0810892,0.07455967366695404,0.26688,1.41667,0.294584,0.713224,,,4.69159,-0.023764,0.00437067,999,,,,,,,46,3.2857142857142856,50,3.5714285714285716,,,,,,,,,,,,,,,,,,,"Joe La Sorsa","25481",686747
