Name,Team,total_sgp,marginal_sgp,dollar_value,player_type,position_rank,primary_position,eligible_positions,position_multiplier,adjusted_sgp,playing_time,R,HR,RBI,SB,OBP,PA,ADP,W,SV,K,ERA,WHIP,IP,overall_rank
Gleyber Torres,DET,11.89907936269799,4.51759938325994,16.069826352274738,Hitter,71,2B,2B,1.05,12.22911685526173,658,83,18,72.0,6.0,0.346903,658.0,246.5399932861328,,,,,,,89
Cody Bellinger,NYY,12.421619617625666,4.446721089814927,15.833390253421024,Hitter,61,Util,Util,1.0,12.158238561816717,616,82,24,89.0,11.0,0.325913,616.0,80.31999969482422,,,,,,,90
Drake Baldwin,ATL,10.793882546821695,4.438249910201204,15.805132058094811,Hitter,101,C,C,1.15,12.149767382202993,571,71,23,78.0,1.0,0.34054,571.0,84.13999938964844,,,,,,,91
Dansby Swanson,CHC,11.205220482345444,4.35287692675109,15.520344513511684,Hitter,86,SS,SS,1.1,12.06439439875288,686,82,22,80.0,16.0,0.308515,686.0,149.85000610351562,,,,,,,92
Austin Riley,ATL,12.288924282666072,4.3168393523167286,15.400130226495577,Hitter,62,Util,Util,1.0,12.028356824318518,672,88,30,93.0,3.0,0.323955,672.0,64.13999938964844,,,,,,,93
Manny Machado,SDP,12.286314111868593,4.314284526116948,15.391607826892459,Hitter,63,3B,3B,1.0,12.025801998118737,644,80,26,90.0,9.0,0.325293,644.0,38.58000183105469,,,,,,,94
Taylor Ward,BAL,12.271436282475157,4.2997221578738625,15.343030619822182,Hitter,64,OF,OF,1.0,12.011239629875652,658,84,28,89.0,5.0,0.327848,658.0,151.4199981689453,,,,,,,95
Alex Bregman,CHC,12.221445340296526,4.250791195596177,15.179806517325,Hitter,65,3B,3B,1.0,11.962308667597966,672,87,23,82.0,3.0,0.340524,672.0,118.93000030517578,,,,,,,96
Jeremy Peña,HOU,11.089357696988724,4.228130221330716,15.104213947426196,Hitter,91,SS,SS,1.1,11.939647693332505,609,76,17,69.0,16.0,0.324715,609.0,94.94000244140624,,,,,,,97
Sonny Gray,BOS,16.773587701135195,7.717345682993992,15.042967340526816,Pitcher,20,SP,SP,1.0,16.349286781444082,178,80,21,,,,,135.0,12.0,0.0,186.0,3.71586,1.21446,178.0,98
Hunter Greene,CIN,16.497345252197213,7.448091001206992,14.553014595381432,Pitcher,22,SP,SP,1.0,16.080032099657082,147,65,20,,,,,57.630001068115234,9.0,0.0,174.0,3.72853,1.1122,147.0,99
David Bednar,NYY,13.166183265736084,7.409476952948742,14.482750045774559,Pitcher,45,RP,RP,1.25,16.041418051398832,65,25,7,,,,,63.36000061035156,5.0,33.0,81.0,3.23892,1.12337,65.0,100
Devin Williams,NYM,13.135784872487555,7.372440150076683,14.415355551022824,Pitcher,47,RP,RP,1.25,16.004381248526773,64,24,6,,,,,62.709999084472656,5.0,32.0,85.0,3.12382,1.13527,64.0,101
Nick Pivetta,SDP,16.39013813873335,7.343595774886811,14.362868512682445,Pitcher,23,SP,SP,1.0,15.975536873336901,173,81,27,,,,,94.68000030517578,10.0,0.0,190.0,3.91589,1.16883,173.0,102
Jacob Wilson,ATH,10.87148519254438,3.993552077473396,14.321707223375379,Hitter,97,SS,SS,1.1,11.705069549475185,616,75,14,78.0,6.0,0.341652,616.0,187.1000061035156,,,,,,,103
Shea Langeliers,ATH,10.367972694185001,3.95883894636337,14.205911019774353,Hitter,109,C,C,1.15,11.67035641836516,524,70,28,83.0,5.0,0.313029,524.0,55.16999816894531,,,,,,,104
Michael Busch,CHC,12.550581164876732,3.9587249247077594,14.205530665872939,Hitter,59,1B,1B,0.95,11.670242396709549,602,84,28,82.0,4.0,0.33948,602.0,106.36000061035156,,,,,,,105
Jarren Duran,BOS,11.88186557177011,3.9184116860310763,14.07105360072932,Hitter,72,OF,OF,1.0,11.629929158032866,602,79,16,69.0,21.0,0.32555,602.0,70.41999816894531,,,,,,,106
Konnor Griffin,PIT,10.780138827953222,3.895201619215449,13.993629365673797,Hitter,102,SS,"SS,OF",1.1,11.606719091217238,490,70,12,58.0,24.0,0.32362,490.0,999.0,,,,,,,107
Will Smith,LAD,10.290212233480718,3.8713105241305197,13.913933353754352,Hitter,112,C,C,1.15,11.582827996132309,500,67,19,67.0,2.0,0.351964,500.0,101.52999877929688,,,,,,,108
Shane McClanahan,TBR,16.087313879985146,7.0484316908001645,13.82576939036903,Pitcher,24,SP,SP,1.0,15.680372789250255,139,56,16,,,,,205.6000061035156,9.0,0.0,150.0,3.33451,1.1421,139.0,109
Aroldis Chapman,BOS,12.85101892752167,7.025486938367457,13.784017676465764,Pitcher,53,RP,RP,1.25,15.657428036817548,62,22,5,,,,,62.959999084472656,5.0,31.0,88.0,2.96386,1.1697,62.0,110
Hunter Goodman,COL,10.221965629897195,3.794491052122334,13.657678647344015,Hitter,115,C,C,1.15,11.506008524124123,583,74,29,89.0,2.0,0.309429,583.0,64.01000213623047,,,,,,,111
Andrés Muñoz,SEA,12.793564841856412,6.955486013398122,13.656639592921154,Pitcher,55,RP,RP,1.25,15.587427111848212,64,22,5,,,,,41.189998626708984,4.0,28.0,82.0,2.85672,1.11492,64.0,112
Matt McLain,CIN,11.193056613976651,3.7919941130192125,13.649349347752805,Hitter,87,2B,2B,1.05,11.503511585021002,623,79,19,68.0,18.0,0.317562,623.0,181.72000122070312,,,,,,,113
Eugenio Suárez,CIN,11.743817207216168,3.7832904215758454,13.620315538521877,Hitter,74,3B,3B,1.0,11.494807893577635,616,79,35,97.0,3.0,0.311743,616.0,99.97000122070312,,,,,,,114
Caleb Durbin,BOS,11.143284396630525,3.7408413940971634,13.478713900426854,Hitter,89,2B,"2B,3B",1.05,11.452358866098953,560,68,11,62.0,22.0,0.333761,560.0,223.72000122070312,,,,,,,115
Luis Robert Jr.,NYM,11.689867735029273,3.7304848637400845,13.444166544441378,Hitter,75,OF,OF,1.0,11.442002335741874,567,69,21,76.0,29.0,0.298463,567.0,107.9000015258789,,,,,,,116
Josh Hader,HOU,12.688693757023685,6.827713151715157,13.424136061613298,Pitcher,56,RP,SP,1.25,15.459654250165247,60,23,8,,,,,109.51000213623048,5.0,29.0,84.0,3.20902,1.0916,60.0,117
Nathan Eovaldi,TEX,15.847606160257673,6.814787563891928,13.400615849468506,Pitcher,25,SP,SP,1.0,15.446728662342018,173,79,22,,,,,143.99000549316406,10.0,0.0,164.0,3.77594,1.18401,173.0,118
Mike Trout,LAA,11.665020671645197,3.7061646435527322,13.36303905526415,Hitter,77,OF,OF,1.0,11.417682115554522,560,73,26,73.0,3.0,0.347094,560.0,179.39999389648438,,,,,,,119
Lawrence Butler,ATH,11.662101846015064,3.703307707064262,13.353508874934246,Hitter,78,OF,OF,1.0,11.414825179066051,588,77,22,75.0,19.0,0.313882,588.0,152.92999267578125,,,,,,,120
Xander Bogaerts,SDP,10.587536344627674,3.6878311060979545,13.301881966636458,Hitter,104,SS,SS,1.1,11.399348578099744,609,72,13,60.0,17.0,0.330403,609.0,240.69000244140625,,,,,,,121
Kevin McGonigle,DET,10.532053828883477,3.6280944009409577,13.102612023199516,Hitter,106,SS,SS,1.1,11.339611872942747,539,75,16,64.0,10.0,0.336574,539.0,999.0,,,,,,,122
Luis Castillo,SEA,15.647937326886721,6.620169508633712,13.046476601839563,Pitcher,26,SP,SP,1.0,15.252110607083802,179,82,24,,,,,173.05999755859375,11.0,0.0,167.0,3.81691,1.20843,179.0,123
Brandon Woodruff,MIL,15.605389696188588,6.578698153277358,12.97101271661799,Pitcher,27,SP,SP,1.0,15.210639251727448,151,67,21,,,,,123.80999755859376,10.0,0.0,160.0,3.74409,1.15332,151.0,124
Willson Contreras,BOS,12.074747232155639,3.5162675386724977,12.729579522320837,Hitter,67,1B,1B,0.95,11.227785010674287,609,75,23,82.0,5.0,0.344293,609.0,169.9199981689453,,,,,,,125
Kevin Gausman,TOR,15.437858769268862,6.415405051182903,12.673874322947368,Pitcher,28,SP,SP,1.0,15.047346149632993,182,85,24,,,,,118.36000061035156,12.0,0.0,177.0,3.87709,1.23131,182.0,126
JJ Wetherholt,STL,10.365943617948796,3.4492474874390346,12.50601376349075,Hitter,110,SS,"2B,3B,SS",1.1,11.160764959440824,560,72,12,58.0,13.0,0.340051,560.0,999.0,,,,,,,127
Spencer Strider,ATL,15.339559129366819,6.319591976967278,12.499526830004237,Pitcher,29,SP,SP,1.0,14.951533075417368,159,73,20,,,,,105.91999816894533,11.0,0.0,187.0,3.84571,1.20673,159.0,128
Drew Rasmussen,TBR,15.331269305022586,6.3115118501639635,12.484823723331655,Pitcher,30,SP,SP,1.0,14.943452948614054,160,70,18,,,,,145.50999450683594,10.0,0.0,144.0,3.64179,1.18043,160.0,129
Ceddanne Rafaela,BOS,10.844390374423861,3.4336571310555133,12.454007389410672,Hitter,99,2B,"2B,OF",1.05,11.145174603057303,609,78,18,76.0,21.0,0.303175,609.0,133.39999389648438,,,,,,,130
Dylan Crews,WSN,11.306884083135357,3.3556217824076953,12.193696756772583,Hitter,82,SP,SP,1.0,11.067139254409485,595,72,18,68.0,26.0,0.30851,595.0,167.6699981689453,,,,,,,131
Jackson Merrill,SDP,11.268465840890912,3.318018139025247,12.068258370605315,Hitter,83,OF,OF,1.0,11.029535611027036,630,82,24,84.0,7.0,0.320793,630.0,70.95999908447266,,,,,,,132
Teoscar Hernández,LAD,11.254692072648917,3.304536422040151,12.023286004386048,Hitter,84,OF,OF,1.0,11.01605389404194,595,75,29,92.0,6.0,0.313807,595.0,131.94000244140625,,,,,,,133
