Name,Team,total_z,dollar_value,player_type
Jeremy Peña,HOU,3.4949762630819494,27.474881315409746,Hitter
Gerrit Cole,NYY,3.8928900038724934,27.464450019362467,Pitcher
Mike Trout,LAA,3.48759332982217,27.437966649110848,Hitter
Jose Altuve,HOU,3.486616236005115,27.433081180025574,Hitter
Luis Robert Jr.,NYM,3.483838594534129,27.419192972670643,Hitter
Jurickson Profar,ATL,3.4825692369898418,27.41284618494921,Hitter
Nolan McLean,NYM,3.85573921181505,27.27869605907525,Pitcher
Jonathan Aranda,TBR,3.4384609392940346,27.192304696470174,Hitter
Spencer Torkelson,DET,3.436762218734307,27.183811093671537,Hitter
Reynaldo López,ATL,3.8227920838898846,27.113960419449423,Pitcher
Jordan Westburg,BAL,3.416014783310198,27.08007391655099,Hitter
Willson Contreras,BOS,3.4050403434097887,27.025201717048944,Hitter
Reid Detmers,LAA,3.783913451882417,26.919567259412084,Pitcher
Jo Adell,LAA,3.3714314345743155,26.857157172871577,Hitter
Lawrence Butler,ATH,3.367186216715857,26.835931083579286,Hitter
Eury Pérez,MIA,3.754520563112534,26.77260281556267,Pitcher
Robert Suarez,ATL,3.7180027042437365,26.590013521218683,Pitcher
Jarren Duran,BOS,3.2854345486942957,26.42717274347148,Hitter
JoJo Romero,STL,3.683871099684401,26.419355498422007,Pitcher
Teoscar Hernández,LAD,3.2529721757371064,26.264860878685532,Hitter
Bo Bichette,NYM,3.240483442721379,26.202417213606893,Hitter
Cody Ponce,TOR,3.6219551571773847,26.109775785886924,Pitcher
Vinnie Pasquantino,KCR,3.2163750010553853,26.081875005276927,Hitter
Bryson Stott,PHI,3.2163406775207353,26.081703387603675,Hitter
Dansby Swanson,CHC,3.2026746287756014,26.013373143878006,Hitter
Ben Rice,NYY,3.132396853198256,25.66198426599128,Hitter
Caleb Durbin,MIL,3.127435600944824,25.63717800472412,Hitter
Gleyber Torres,DET,3.103855255502052,25.51927627751026,Hitter
Jackson Merrill,SDP,3.0810937661650173,25.405468830825086,Hitter
Logan Henderson,MIL,3.459821419684183,25.299107098420915,Pitcher
Andy Pages,LAD,3.0458015517320534,25.229007758660266,Hitter
Matt Brash,SEA,3.4270889743544504,25.13544487177225,Pitcher
Dylan Crews,WSN,3.018400907700126,25.092004538500632,Hitter
Adrian Morejon,SDP,3.4147111026219266,25.073555513109632,Pitcher
Will Vest,DET,3.3861271421591264,24.93063571079563,Pitcher
Mitch Keller,PIT,3.2926877754722574,24.463438877361288,Pitcher
Zebby Matthews,MIN,3.275825434558032,24.37912717279016,Pitcher
