Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Jean Cabrera","PHI",0,1,1,5.02915,2,2,0,0,,9,39,9,5,5,1,4,,1,6,6.58639,3.66659,1.79632,1.37808,0.165056,0.0918853,0.07317040115594864,0.265843,1.46251,0.292475,0.689179,,,5.05658,0.0358646,0.0756626,999,,,,,,,27.900000000000013,3.1000000000000014,29,3.2222222222222223,,,,,,,,,,,,,,,,,,,"Jean Cabrera","sa3015433",691893
"Zak Kent","MIN",1,1,0,4.27717,28,0,0,1,,28,122,26,14,13,3,12,,1,27,8.62676,4.00994,2.15135,1.00074,0.219751,0.102146,0.11760525405406952,0.239978,1.37594,0.291814,0.707946,,,4.11829,0.0349044,-0.00721729,999,,,,,,,121.70000000000005,4.346428571428573,120,4.285714285714286,,,,,,,,,,,,,,,,,,,"Zak Kent","25703",687849
"Ryan Fernandez","STL",3,3,0,4.00985,44,0,0,1,,44,189,40,21,20,5,19,,1,45,9.29228,3.95315,2.3506,1.0439,0.239878,0.102049,0.13782814890146255,0.235067,1.34157,0.292305,0.730364,,,3.9748,0.0341586,0.0149225,999,,,,,,,194.10000000000002,4.411363636363637,189,4.295454545454546,,,,,,,,,,,,,,,,,,,"Ryan Fernandez","24862",681676
"Tim Mayza","PHI",2,1,0,4.05027,31,0,0,1,,31,134,31,15,14,3,11,,1,26,7.53136,3.09122,2.43637,0.990574,0.19353,0.0794338,0.11409612745046616,0.256738,1.35727,0.301056,0.725786,,,4.01795,0.0340085,0.0259019,999,,,,,,,131.89999999999998,4.2548387096774185,136,4.387096774193548,,,,,,,,,,,,,,,,,,,"Tim Mayza","15042",641835
"Jaden Hill","COL",2,3,0,4.51569,40,0,0,1,,40,176,40,22,20,5,15,,4,39,8.86988,3.42822,2.58731,1.12691,0.22459,0.0868043,0.1377854272723198,0.253157,1.3694,0.308987,0.693362,,,4.24246,0.0337938,0.0222162,999,,,,,,,155.5,3.8875,160,4,,,,,,,,,,,,,,,,,,,"Jaden Hill","30250",677955
"Justin Hagenman","NYM",1,1,0,4.11196,27,0,0,1,,27,113,26,13,12,4,6,,1,24,8.07136,2.07606,3.88783,1.32017,0.214655,0.0552121,0.15944316983222961,0.248972,1.20441,0.28842,0.714446,,,4.04913,0.0335144,0.000674921,999,,,,,,,114.00000000000003,4.222222222222223,114,4.222222222222222,,,,,,,,,,,,,,,,,,,"Justin Hagenman","21546",663795
"Huascar Brazobán","NYM",3,2,0,4.08235,52,0,0,7,,52,225,47,25,24,5,24,,3,49,8.55751,4.09199,2.09128,0.942457,0.219496,0.104958,0.11453849077224731,0.238509,1.36588,0.291691,0.719594,,,4.12914,0.0334308,0.00196287,999,,,,,,,246.10000000000002,4.732692307692308,240,4.615384615384615,,,,,,,,,,,,,,,,,,,"Huascar Brazoban","6107",623211
"Anthony Banda","MIN",3,3,0,4.3421,60,0,1,12,,60,261,57,31,29,8,27,,3,58,8.70047,3.98449,2.18358,1.16636,0.222152,0.101737,0.12041480839252472,0.245113,1.38895,0.295447,0.721416,,,4.36011,0.0333042,-0.00185539,999,,,,,,,276.40000000000003,4.606666666666667,275,4.583333333333333,,,,,,,,,,,,,,,,,,,"Anthony Banda","14706",607455
"Jared Lyons","CIN",0,1,1,5.30674,2,2,0,0,,9,38,9,5,5,1,4,,0,6,6.7748,3.80313,1.78138,1.548,0.169862,0.0953541,0.07450742274522781,0.267607,1.48646,0.292345,0.687364,,,5.23368,0.0329705,0.0886746,999,,,,,,,30.900000000000013,3.433333333333335,32,3.5555555555555554,,,,,,,,,,,,,,,,,,,"Jared Lyons","sa3020483",805723
"Yerry De los Santos","NYY",2,2,0,4.01745,42,0,0,1,,42,181,41,20,19,4,16,,2,34,7.29382,3.4292,2.12698,0.929639,0.188038,0.0884061,0.09963151812553406,0.247765,1.34532,0.289096,0.715747,,,4.11084,0.032536,0.000934586,999,,,,,,,173.00000000000003,4.1190476190476195,176,4.190476190476191,,,,,,,,,,,,,,,,,,,"Yerry De los Santos","21420",660787
"Kyle Nicolas","CIN",2,2,0,4.16008,42,0,0,1,,42,184,38,21,19,5,20,,2,42,9.09603,4.33779,2.09693,1.09499,0.230966,0.110145,0.12082105129957199,0.238416,1.3967,0.293255,0.73116,,,4.31302,0.0323669,0.0301253,999,,,,,,,172.5,4.107142857142857,167,3.9761904761904763,,,,,,,,,,,,,,,,,,,"Kyle Nicolas","27775",693312
"Tyler Phillips","MIA",3,3,0,4.22976,68,0,3,15,,68,293,71,35,32,8,22,,2,50,6.61083,2.97262,2.22391,1.05752,0.170184,0.0765247,0.09365934878587723,0.263668,1.37238,0.298231,0.713074,,,4.28518,0.0316024,0.181648,999,,,,,,,323.20000000000005,4.752941176470589,339,4.985294117647059,,,,,,,,,,,,,,,,,,,"Tyler Phillips","20629",663969
"Yuki Matsui","SDP",2,2,0,4.10629,48,0,0,4,,48,206,43,24,22,6,22,,1,49,9.25968,4.15105,2.23068,1.177,0.23983,0.107514,0.13231564313173294,0.23333,1.349,0.28618,0.736608,,,4.23293,0.030975,-0.00467589,999,,,,,,,214.60000000000002,4.470833333333334,207,4.3125,,,,,,,,,,,,,,,,,,,"Yuki Matsui","33826",673513
